#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-15T20:52:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee72a26361	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/130/gcs3
#-nav=cat:V/130&tab:{V/130/gcs3}&key:source=V/130/gcs3&HTTPPRM:&&-ref=VIZ53ee72a26361&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=m_Name&-out=RAJ2000&-out=DEJ2000&-out=logTe&-out=[Fe/H]&-out=Dist&-out=VMag&-out=age&-out=UVel&-out=VVel&-out=WVel&-out=Vmag&-out=b-y&-out=m1&-out=c1&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/130/gcs3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/130/gcs3
#-order=I
#-out=Name
#-out=m_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=logTe
#-out=[Fe/H]
#-out=Dist
#-out=VMag
#-out=age
#-out=UVel
#-out=VVel
#-out=WVel
#-out=Vmag
#-out=b-y
#-out=m1
#-out=c1
#-out=Simbad
#

#RESOURCE=yCat_5130
#Name: V/130
#Title: Geneva-Copenhagen Survey of Solar neighbourhood III (Holmberg+, 2009)
#Table	V_130_gcs3:
#Name: V/130/gcs3
#Title: Geneva-Copenhagen catalogue III {\em(includes uvby data from Olsen 1984A\&AS...57..443O)}
#Column	Name	(a11)	Object name (HD, BD, CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	Components included in photometry (2)	[ucd=meta.code.multip]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	logTe	(F6.3)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	Dist	(I4)	? Distance [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	VMag	(F5.2)	? Absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	age	(F4.1)	? Age, in Gigayears	[ucd=time.age]
#Column	UVel	(I5)	? Heliocentric space velocity component U (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.x]
#Column	VVel	(I5)	? Heliocentric space velocity component V (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.y]
#Column	WVel	(I5)	? Heliocentric space velocity component W (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.z]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren (b-y) index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	Stroemgren m_1_ index ((v-b) - (b-y))	[ucd=phot.color]
#Column	c1	(F6.3)	Stroemgren c_1_ index ((u-v) - (v-b))	[ucd=phot.color]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
Name	m_Name	RAJ2000	DEJ2000	logTe	[Fe/H]	Dist	VMag	age	UVel	VVel	WVel	Vmag	b-y	m1	c1	Simbad
HD 43853   	A   	06 28 55.0	+77 54 25	 3.805	-0.22	  78	 3.74	 2.5	     	     	     	 8.191	 0.298	 0.144	 0.425	Simbad
HD 43855   	    	06 19 03.0	+14 05 40	 3.794	-0.27	  64	 3.68	 3.5	  -56	  -18	    3	 7.709	 0.320	 0.144	 0.397	Simbad
HD 43856   	    	06 18 48.3	+06 43 31	 3.785	-0.26	  69	 3.75	 4.1	   64	    4	    0	 7.957	 0.340	 0.149	 0.386	Simbad
HD 43879   	A   	06 17 37.4	-24 26 41	 3.808	-0.10	  64	 3.44	 2.3	   35	  -21	    0	 7.477	 0.296	 0.154	 0.449	Simbad
HD 43905   	    	06 21 46.1	+53 27 07	 3.815	 0.07	  59	 1.47	 1.1	  -10	  -24	   -3	 5.334	 0.284	 0.171	 0.632	Simbad
HD 43920   	    	06 13 55.9	-65 31 22	 3.722	 0.19	  46	 5.53	    	  -21	  -62	  -30	 8.818	 0.488	 0.363	 0.330	Simbad
HD 43921   	    	06 13 40.9	-66 40 48	 3.809	-0.17	 117	 1.95	 1.6	  -28	  -31	  -13	 7.286	 0.292	 0.150	 0.532	Simbad
HD 43926   	    	06 20 14.5	+30 22 09	 3.832	-0.12	 139	 2.30	 1.6	   -3	  -29	  -25	 8.009	 0.239	 0.161	 0.602	Simbad
HD 43929   	    	06 19 31.6	+16 10 41	 3.840	 0.35	 308	 0.58	 0.7	  -38	  -13	   -3	 8.019	 0.226	 0.204	 0.775	Simbad
HD 43931   	A   	06 19 25.4	+13 26 02	 3.802	-0.04	  81	 2.35	 1.9	  -38	  -19	    4	 6.889	 0.310	 0.160	 0.503	Simbad
HD 43947   	    	06 19 40.1	+16 00 47	 3.773	-0.39	  28	 4.41	 7.4	  -39	  -11	   -3	 6.613	 0.366	 0.154	 0.324	Simbad
HD 43957   	    	06 14 51.3	-62 17 02	 3.773	-0.17	  79	 3.83	 6.9	  -27	  -15	   11	 8.318	 0.371	 0.168	 0.375	Simbad
HD 43965   	    	06 20 05.0	+24 34 00	 3.771	-0.08	 101	 2.62	 2.8	  -35	   11	  -25	 7.638	 0.380	 0.174	 0.413	Simbad
HD 43976   	    	06 15 38.8	-57 42 05	 3.758	-0.24	  65	 4.83	 7.6	  -15	  -28	   -3	 8.888	 0.403	 0.196	 0.307	Simbad
HD 44016   	    	06 20 51.3	+31 38 21	 3.791	-0.46	 108	 3.41	 4.9	   24	  -25	  -21	 8.572	 0.323	 0.126	 0.399	Simbad
HD 44071   	    	06 21 04.0	+29 22 18	 3.827	-0.20	  55	 3.33	 1.4	    8	    7	   -7	 7.018	 0.249	 0.153	 0.520	Simbad
HD 44105   	B   	06 16 15.2	-59 13 09	 3.795	-0.49	  66	 3.65	 3.9	   67	    5	    4	 7.753	 0.314	 0.122	 0.414	Simbad
HD 44120   	A   	06 16 18.7	-59 12 48	 3.771	-0.09	  37	 3.58	 5.9	   55	    8	  -13	 6.442	 0.379	 0.174	 0.408	Simbad
HD 44135   	    	06 18 52.5	-28 07 21	 3.760	-0.18	  57	 4.39	10.3	  -14	   26	   13	 8.149	 0.399	 0.203	 0.305	Simbad
HD 44168   	A   	06 21 58.2	+35 13 27	 3.835	-0.31	 149	 2.72	 1.8	     	     	     	 8.584	 0.229	 0.151	 0.615	Simbad
HD 44192   	    	06 22 03.0	+34 35 50	 3.780	-0.14	  71	 3.38	 5.0	   39	  -21	  -17	 7.646	 0.357	 0.172	 0.353	Simbad
HD 44205   	    	06 17 54.7	-49 24 50	 3.818	 0.00	 110	 3.09	 1.7	  -42	  -24	    0	 8.306	 0.275	 0.162	 0.521	Simbad
HD 44211   	AB  	06 21 38.9	+25 00 25	 3.705	-0.41	    	     	    	     	     	     	 8.687	 0.498	 0.268	 0.325	Simbad
HD 44219   	    	06 20 14.3	-10 43 30	 3.752	-0.12	  50	 4.19	10.9	   14	   -3	   16	 7.700	 0.418	 0.202	 0.360	Simbad
HD 44252   	    	06 21 48.1	+22 54 03	 3.804	-0.11	 223	 1.57	 1.5	  -34	  -27	  -16	 8.317	 0.304	 0.156	 0.570	Simbad
HD 44265   	    	06 19 11.0	-36 31 33	 3.825	 0.21	 380	 0.25	 0.8	     	     	     	 8.149	 0.262	 0.185	 0.718	Simbad
HD 44268   	    	06 17 14.7	-58 09 55	 3.793	-0.08	 167	 2.81	 2.5	  -29	  -39	   -9	 8.922	 0.327	 0.158	 0.465	Simbad
HD 44278   	    	06 17 17.3	-58 22 53	 3.781	-0.10	  98	 4.00	 4.1	  -37	  -29	  -25	 8.966	 0.357	 0.172	 0.373	Simbad
HD 44280   	    	06 32 56.2	+79 28 06	 3.798	-0.11	 150	 2.07	 1.8	   -8	  -13	  -14	 7.954	 0.316	 0.155	 0.516	Simbad
HD 44297   	    	06 23 12.7	+43 41 51	 3.785	-0.26	 116	 3.23	 4.7	   40	  -24	    4	 8.548	 0.340	 0.145	 0.433	Simbad
HD 44299   	AB  	06 22 34.9	+32 45 36	 3.781	-0.09	 135	 2.57	 2.5	   24	  -20	   -3	 8.225	 0.357	 0.162	 0.470	Simbad
HD 44300   	    	06 22 28.3	+30 56 42	 3.824	-0.07	 142	 2.89	 1.7	  -39	  -20	   -5	 8.647	 0.258	 0.161	 0.595	Simbad
HD 44303   	    	06 21 00.8	-03 30 11	 3.824	-0.09	  85	 3.17	 1.6	     	     	     	 7.827	 0.260	 0.154	 0.486	Simbad
HD 44310   	    	06 19 18.8	-37 27 46	 3.722	 0.11	  40	 5.67	    	   -7	    3	  -44	 8.667	 0.485	 0.364	 0.309	Simbad
HD 44345   	    	06 17 20.9	-61 14 46	 3.805	-0.15	  92	 3.69	 2.5	  -11	  -24	   -3	 8.507	 0.300	 0.152	 0.410	Simbad
HD 44364   	    	06 18 06.1	-56 26 38	 3.827	-0.37	  94	 3.35	 1.7	     	     	     	 8.221	 0.248	 0.142	 0.547	Simbad
HD 44414   	    	06 22 19.1	+14 51 51	 3.757	-0.01	  94	 3.45	 6.7	  -13	  -31	  -12	 8.307	 0.412	 0.196	 0.418	Simbad
HD 44420   	    	06 21 43.5	-00 32 20	 3.753	 0.19	  40	 4.60	 5.9	   15	  -21	  -13	 7.612	 0.428	 0.247	 0.376	Simbad
HD 44447   	    	06 15 06.0	-71 42 09	 3.772	-0.34	  31	 4.12	 6.8	   -6	  -12	   -8	 6.610	 0.369	 0.158	 0.335	Simbad
HD 44473   	    	06 25 38.3	+58 25 31	 3.779	 0.08	 123	 1.61	 1.5	  -31	  -49	  -12	 7.062	 0.368	 0.180	 0.502	Simbad
HD 44494   	    	06 24 31.3	+47 07 15	 3.809	 0.07	 316	 0.53	 1.0	     	     	     	 8.028	 0.298	 0.171	 0.641	Simbad
HD 44510   	    	06 19 03.9	-53 58 24	 3.817	-0.10	 105	 3.57	 1.4	   -8	  -25	  -12	 8.667	 0.275	 0.154	 0.441	Simbad
HD 44517   	    	06 22 02.4	-05 27 17	 3.780	-0.28	 143	 2.28	 2.8	  -13	   -8	   -1	 8.048	 0.352	 0.144	 0.479	Simbad
HD 44524   	    	06 20 56.4	-29 40 15	 3.837	-0.36	 102	 2.14	 1.6	     	     	     	 7.187	 0.225	 0.149	 0.660	Simbad
HD 44530   	    	06 20 13.9	-42 00 59	 3.832	-0.27	 147	 2.86	 1.8	     	     	     	 8.689	 0.238	 0.151	 0.604	Simbad
HD 44536   	    	06 25 58.1	+58 36 11	 3.830	-0.20	  58	 3.07	 1.7	     	     	     	 6.872	 0.244	 0.154	 0.521	Simbad
HD 44569   	    	06 21 37.3	-18 10 00	 3.763	-0.22	  45	 4.48	 8.7	    0	  -21	  -22	 7.725	 0.392	 0.189	 0.314	Simbad
HD 44590   	    	06 20 13.2	-46 06 16	 3.785	-0.65	  91	 3.83	 6.8	   48	  -45	  -30	 8.615	 0.329	 0.113	 0.363	Simbad
BD +09 2190	    	09 29 15.5	+08 38 00	 3.776	-2.70	    	     	    	     	     	     	11.129	 0.327	 0.038	 0.394	Simbad
HD 44594   	    	06 20 06.1	-48 44 27	 3.760	 0.05	  25	 4.61	 5.8	   22	  -69	   -7	 6.612	 0.408	 0.214	 0.370	Simbad
HD 44598   	    	06 23 20.0	+17 23 34	 3.811	 0.11	 238	 1.09	 1.1	     	     	     	 7.971	 0.294	 0.174	 0.616	Simbad
HD 44614   	    	06 24 30.8	+38 34 09	 3.769	 0.07	  44	 4.36	 4.3	  -32	  -23	   15	 7.588	 0.391	 0.209	 0.366	Simbad
HD 44623   	    	06 21 40.2	-25 21 05	 3.814	-0.18	 142	 2.32	 1.9	   21	  -20	    2	 8.082	 0.280	 0.150	 0.548	Simbad
HD 44627   	    	06 19 12.9	-58 03 15	 3.682	-0.64	  46	 5.85	    	  -11	  -22	   -6	 9.168	 0.537	 0.310	 0.313	Simbad
HD 44630   	    	06 26 31.1	+58 43 36	 3.813	-0.14	 110	 3.52	 2.1	   24	  -38	  -23	 8.730	 0.284	 0.151	 0.438	Simbad
HD 44642   	    	06 21 31.1	-29 09 02	 3.790	-0.31	  68	 3.57	 3.8	  -46	  -45	  -18	 7.723	 0.327	 0.147	 0.349	Simbad
HD 44663   	    	06 21 43.6	-27 30 25	 3.790	 0.08	  70	 3.89	 2.2	    3	   -8	   -3	 8.115	 0.342	 0.184	 0.396	Simbad
HD 44665   	A   	06 20 46.8	-44 47 21	 3.747	-0.13	  56	 4.75	12.1	  -26	  -57	   32	 8.493	 0.428	 0.225	 0.323	Simbad
HD 44670   	    	06 31 59.1	+76 07 52	 3.830	-0.32	 107	 3.28	 1.8	     	     	     	 8.422	 0.241	 0.147	 0.521	Simbad
HD 44673   	    	06 24 54.2	+40 51 07	 3.764	-0.03	  65	 4.39	 6.9	  -33	    3	  -16	 8.463	 0.398	 0.203	 0.355	Simbad
HD 44675   	    	06 23 48.7	+17 53 03	 3.755	-0.25	 102	 3.41	 7.5	   22	    1	   -3	 8.447	 0.408	 0.169	 0.405	Simbad
HD 44695   	    	06 24 42.3	+35 08 42	 3.819	-0.15	  87	 3.17	 2.0	     	     	     	 7.871	 0.269	 0.149	 0.472	Simbad
HD 44748   	    	06 21 57.2	-34 30 43	 3.746	-0.26	  62	 5.17	 8.2	  -29	  -13	   -4	 9.125	 0.427	 0.229	 0.280	Simbad
HD 44804   	    	06 21 56.8	-40 52 50	 3.723	-0.04	  56	 5.50	15.1	  -12	  -11	   -3	 9.222	 0.477	 0.324	 0.304	Simbad
HD 44821   	    	06 22 57.6	-24 33 21	 3.753	-0.05	  29	 5.02	 1.4	   -9	  -10	   -4	 7.361	 0.419	 0.237	 0.310	Simbad
HD 44824   	    	06 21 39.3	-46 09 42	 3.779	-0.03	 127	 3.13	 3.2	  -33	  -12	  -22	 8.645	 0.363	 0.171	 0.437	Simbad
HD 44836   	    	06 25 00.9	+24 18 07	 3.783	-0.03	 118	 2.35	 2.2	    1	  -11	    6	 7.708	 0.355	 0.167	 0.494	Simbad
HD 44849   	    	06 28 21.8	+62 42 44	 3.831	-0.09	 157	 2.17	 1.5	  -38	  -19	  -16	 8.156	 0.242	 0.163	 0.631	Simbad
HD 44864   	    	06 18 20.7	-69 09 44	 3.814	-0.08	  67	 3.46	 1.6	   16	   -2	   -2	 7.597	 0.282	 0.155	 0.456	Simbad
HD 44898   	    	06 19 22.4	-66 03 36	 3.777	-0.43	  79	 3.89	 7.9	   46	   -5	  -38	 8.384	 0.355	 0.143	 0.335	Simbad
HD 44919   	    	06 21 22.7	-54 21 06	 3.816	-0.20	  93	 3.52	 1.8	     	     	     	 8.352	 0.276	 0.144	 0.470	Simbad
HD 44934   	    	06 23 15.7	-30 56 43	 3.822	-0.12	  69	 3.50	 0.7	     	     	     	 7.680	 0.262	 0.151	 0.489	Simbad
HD 44966   	    	06 24 50.1	+04 52 19	 3.798	-0.02	  47	 3.66	 2.5	  -11	   -9	  -13	 7.035	 0.318	 0.165	 0.428	Simbad
HD 44985   	    	06 25 20.2	+11 13 59	 3.774	-0.20	  32	 4.48	 4.3	  -30	  -10	  -21	 7.007	 0.368	 0.170	 0.349	Simbad
HD 45004   	    	06 27 38.3	+48 46 36	 3.782	 0.00	  68	 3.15	 3.0	   53	   -3	   -3	 7.305	 0.358	 0.178	 0.399	Simbad
HD 45013   	    	06 24 47.3	-05 30 13	 3.802	-0.18	  57	 3.93	 1.4	    0	   -1	  -18	 7.710	 0.306	 0.151	 0.399	Simbad
HD 45033   	    	06 23 39.6	-33 19 10	 3.817	-0.20	  99	 2.45	 1.9	     	     	     	 7.436	 0.273	 0.145	 0.451	Simbad
HD 45042   	    	06 26 59.0	+38 58 30	 3.815	-0.54	 256	 1.28	 1.5	     	     	     	 8.323	 0.273	 0.125	 0.620	Simbad
HD 45044/5 	    	06 25 42.0	+14 05 33	 3.730	-0.60	    	     	    	     	     	     	 6.861	 0.448	 0.151	 0.523	Simbad
HD 45067   	    	06 25 16.5	-00 56 45	 3.780	-0.08	  34	 3.25	 3.2	  -17	  -66	   13	 5.876	 0.360	 0.171	 0.394	Simbad
HD 45080   	    	06 19 15.1	-69 47 04	 3.797	-0.05	  60	 3.02	 2.6	  -17	  -14	   -9	 6.906	 0.321	 0.160	 0.487	Simbad
HD 45088   	AB  	06 26 10.2	+18 45 24	 3.663	-0.85	  15	 5.90	    	    9	   -5	  -13	 6.739	 0.569	 0.438	 0.232	Simbad
HD 45095   	    	06 24 54.0	-13 13 49	 3.773	-0.05	  63	 4.11	 5.4	   10	  -28	   26	 8.124	 0.377	 0.186	 0.368	Simbad
HD 45112   	    	06 24 24.5	-27 18 52	 3.791	-0.12	  67	 3.85	 3.5	  -72	  -33	    7	 7.989	 0.330	 0.160	 0.397	Simbad
HD 45133   	    	06 23 14.6	-46 49 24	 3.739	 0.14	  62	 4.44	11.7	   10	  -36	   15	 8.399	 0.454	 0.261	 0.386	Simbad
HD 45138   	    	06 25 41.1	-00 27 17	 3.819	-0.24	 120	 3.02	 2.1	     	     	     	 8.418	 0.269	 0.142	 0.502	Simbad
HD 45161   	    	06 35 33.5	+76 51 58	 3.752	-0.08	  44	 4.96	 5.7	    0	  -16	  -16	 8.162	 0.419	 0.213	 0.346	Simbad
HD 45163   	    	06 30 30.3	+64 26 43	 3.818	-0.26	 142	 2.91	 2.2	     	     	     	 8.669	 0.269	 0.141	 0.512	Simbad
HD 45184   	    	06 24 43.8	-28 46 48	 3.765	-0.03	  22	 4.67	 3.3	   10	    6	  -18	 6.370	 0.394	 0.207	 0.338	Simbad
HD 45191   	    	06 28 54.8	+52 07 33	 3.804	-0.28	  76	 2.85	 2.5	     	     	     	 7.252	 0.299	 0.139	 0.425	Simbad
HD 45194   	    	06 26 39.2	+13 06 04	 3.783	-0.19	  70	 2.39	 2.2	     	     	     	 6.611	 0.347	 0.154	 0.414	Simbad
HD 45205   	    	06 30 15.6	+60 47 02	 3.767	-0.88	  73	 4.13	11.0	  -88	  -65	   39	 8.448	 0.368	 0.111	 0.294	Simbad
HD 45207   	    	06 27 30.5	+29 38 31	 3.764	-0.09	 182	 1.55	 1.5	   35	    4	   -8	 7.846	 0.394	 0.173	 0.510	Simbad
HD 45210   	A   	06 26 55.0	+17 27 05	 3.734	-0.38	 131	 2.10	    	  -58	   -4	  -27	 7.689	 0.445	 0.191	 0.355	Simbad
HD 45228   	A   	06 23 57.8	-45 56 50	 3.733	-0.47	  63	 3.88	11.2	  -47	  -86	   66	 7.861	 0.444	 0.199	 0.302	Simbad
HD 45235   	A   	06 27 59.5	+36 12 08	      	     	    	     	    	     	     	     	 7.748	 0.395	 0.153	 0.597	Simbad
HD 45253   	    	06 26 50.4	+11 39 27	 3.762	-0.37	  48	 4.75	 8.9	  -33	    9	  -21	 8.175	 0.389	 0.173	 0.302	Simbad
HD 45270   	A   	06 22 30.9	-60 13 07	 3.767	-0.18	  24	 4.64	 4.7	   -8	  -28	  -14	 6.520	 0.384	 0.186	 0.325	Simbad
HD 45289   	    	06 24 24.3	-42 50 51	 3.753	-0.07	  28	 4.44	10.7	 -115	  -23	   -3	 6.667	 0.418	 0.214	 0.347	Simbad
HD 45309   	    	06 22 36.5	-61 06 41	 3.823	-0.08	    	     	    	     	     	     	 8.653	 0.261	 0.160	 0.804	Simbad
HD 45311   	    	06 28 31.6	+39 06 37	 3.838	 0.07	 179	 1.56	 1.1	    6	  -17	  -15	 7.819	 0.227	 0.178	 0.749	Simbad
HD 45328   	    	06 25 20.2	-30 52 50	 3.834	-0.26	 145	 3.11	 1.7	     	     	     	 8.917	 0.233	 0.153	 0.559	Simbad
HD 45345   	    	06 25 16.2	-34 22 42	 3.743	-0.10	  52	 5.21	 5.6	    4	    8	  -15	 8.797	 0.437	 0.252	 0.302	Simbad
HD 45346   	    	06 24 43.7	-43 24 20	 3.755	-0.16	  60	 4.79	 9.1	  -34	  -34	  -10	 8.660	 0.411	 0.202	 0.331	Simbad
HD 45347   	AB  	06 24 07.3	-50 31 47	 3.841	 0.64	 226	 1.07	    	     	     	     	 7.842	 0.227	 0.243	 0.670	Simbad
HD 45350   	    	06 28 45.7	+38 57 46	 3.739	 0.19	  49	 4.45	10.9	   17	   -9	  -18	 7.892	 0.457	 0.263	 0.407	Simbad
HD 45353   	    	06 27 40.6	+18 13 25	 3.798	-0.15	  86	 2.80	 2.5	     	     	     	 7.482	 0.316	 0.153	 0.417	Simbad
HD 45364   	    	06 25 38.4	-31 28 51	 3.740	-0.11	  33	 5.51	    	   -5	  -17	    2	 8.086	 0.443	 0.270	 0.287	Simbad
HD 45385   	    	06 23 38.0	-56 06 32	 3.763	 0.01	  81	 3.88	 7.0	   -4	    5	  -16	 8.430	 0.401	 0.198	 0.392	Simbad
HD 45391   	    	06 28 46.0	+36 28 47	 3.756	-0.48	  25	 5.18	 0.2	   -3	   -9	  -42	 7.137	 0.399	 0.184	 0.258	Simbad
HD 45408   	AB  	06 23 33.1	-58 10 44	 3.742	 0.15	  80	 4.09	 9.3	     	     	     	 8.615	 0.449	 0.255	 0.390	Simbad
HD 45444   	    	06 29 17.2	+39 38 52	 3.764	-0.05	 117	 2.55	 2.9	  -24	  -54	  -17	 7.890	 0.396	 0.187	 0.401	Simbad
HD 45488   	    	06 27 56.5	+08 15 21	 3.682	-0.56	    	     	    	     	     	     	 8.324	 0.538	 0.352	 0.292	Simbad
HD 45504   	    	06 28 56.3	+26 58 02	 3.787	-0.07	  46	 3.10	 2.9	    9	  -22	    7	 6.420	 0.342	 0.169	 0.389	Simbad
HD 45524   	    	06 26 46.7	-26 45 40	 3.836	-0.12	 114	 3.12	 1.3	     	     	     	 8.405	 0.230	 0.163	 0.561	Simbad
HD 45525   	    	06 26 09.3	-37 51 36	 3.753	-0.09	  88	 4.95	 7.0	  -31	  -12	  -27	 9.681	 0.418	 0.224	 0.318	Simbad
HD 45580   	    	06 29 03.6	+17 44 42	 3.765	-0.25	  49	 4.15	 9.6	   17	  -17	  -44	 7.609	 0.386	 0.171	 0.347	Simbad
HD 45588   	A   	06 27 11.3	-25 51 23	 3.790	 0.03	  30	 3.68	 3.1	    1	  -31	  -43	 6.060	 0.339	 0.180	 0.386	Simbad
HD 45594   	    	06 31 26.8	+52 47 03	 3.827	-0.26	 456	 0.56	 1.0	     	     	     	 8.854	 0.250	 0.149	 0.728	Simbad
HD 45595   	    	06 30 28.2	+43 56 16	 3.794	-0.24	 104	 3.26	 3.1	  -20	   -7	  -15	 8.339	 0.322	 0.150	 0.373	Simbad
HD 45596   	    	06 30 09.8	+37 49 18	 3.744	-0.23	  48	 5.26	    	   19	  -19	   -8	 8.659	 0.431	 0.229	 0.293	Simbad
HD 45600   	    	06 28 20.3	-00 43 45	 3.802	 0.02	 138	 2.04	 1.6	  -47	  -18	   -6	 7.740	 0.312	 0.165	 0.481	Simbad
HD 45614   	    	06 25 05.8	-55 43 30	 3.827	-0.28	  83	 2.95	 2.0	     	     	     	 7.540	 0.250	 0.147	 0.561	Simbad
HD 45654   	    	06 28 38.2	-00 43 15	 3.801	-0.18	  76	 2.42	 2.1	   18	    1	   13	 6.809	 0.309	 0.147	 0.475	Simbad
HD 45665   	    	06 27 20.6	-33 06 50	 3.747	-0.08	  45	 5.14	 3.5	   14	   -1	   -6	 8.392	 0.431	 0.242	 0.313	Simbad
HD 45680   	A   	06 27 07.5	-37 53 43	 3.832	-0.01	  50	 2.97	 1.2	  -21	  -23	   -8	 6.480	 0.241	 0.169	 0.535	Simbad
HD 45692   	    	06 28 35.7	-08 27 43	 3.805	-0.13	  94	 2.93	 2.4	  -46	   28	    0	 7.795	 0.300	 0.152	 0.436	Simbad
HD 45701   	    	06 24 26.5	-63 25 44	 3.762	 0.13	  32	 3.94	 6.5	   18	  -22	  -11	 6.450	 0.408	 0.227	 0.368	Simbad
HD 45706   	    	06 29 22.3	+07 29 54	 3.703	-0.27	 108	 2.92	    	   27	    4	   -7	 8.083	 0.506	 0.299	 0.337	Simbad
HD 45738   	    	06 26 59.1	-44 07 21	 3.811	 0.17	  99	 2.98	 1.7	  -10	    9	    0	 7.963	 0.294	 0.177	 0.490	Simbad
HD 45743   	    	06 32 19.9	+54 51 12	 3.782	-0.14	  87	 2.87	 2.7	  -42	  -27	  -26	 7.557	 0.352	 0.159	 0.427	Simbad
HD 45753   	    	06 32 01.1	+50 38 45	 3.799	-0.28	 105	 3.21	 3.0	   49	  -31	   -6	 8.313	 0.310	 0.139	 0.442	Simbad
HD 45758   	    	06 29 41.7	+10 39 55	 3.812	-0.14	  78	 3.23	 2.2	     	     	     	 7.678	 0.286	 0.150	 0.465	Simbad
HD 45759   	    	06 29 36.8	+08 29 32	 3.782	-0.06	  48	 4.22	 2.9	  -40	  -18	   -6	 7.619	 0.354	 0.178	 0.362	Simbad
HD 45767   	    	06 34 13.7	+65 17 12	 3.795	-0.54	  69	 3.41	 4.9	    8	   16	   -1	 7.588	 0.312	 0.118	 0.394	Simbad
HD 45784   	    	06 30 45.6	+29 49 42	 3.847	 0.57	 246	 1.12	    	  -38	  -26	  -30	 8.077	 0.206	 0.231	 0.743	Simbad
HD 45787   	    	06 30 05.1	+14 30 03	 3.802	-0.18	 188	 1.71	 1.6	     	     	     	 8.078	 0.305	 0.150	 0.558	Simbad
HD 45817   	    	06 25 24.8	-62 25 21	 3.835	 0.00	 135	 2.57	 1.4	     	     	     	 8.226	 0.232	 0.172	 0.641	Simbad
HD 45820   	AB  	06 21 19.8	-75 07 40	 3.787	 0.02	 111	 2.77	 2.5	    4	  -15	    2	 8.002	 0.345	 0.172	 0.435	Simbad
HD 45821   	    	06 36 30.5	+72 00 33	 3.751	-0.04	  51	 4.26	10.8	  -71	  -15	   -4	 7.780	 0.424	 0.215	 0.366	Simbad
HD 45844   	    	06 26 53.7	-53 34 55	 3.824	-0.09	 102	 3.52	 0.2	     	     	     	 8.565	 0.260	 0.154	 0.479	Simbad
HD 45875   	A   	06 38 43.0	+75 42 24	 3.781	-0.45	  52	 4.19	 6.2	  -30	   -7	   -6	 7.756	 0.345	 0.139	 0.335	Simbad
HD 45895   	    	06 24 02.0	-70 11 12	 3.820	 0.01	 158	 1.72	 1.3	  -10	  -22	   -7	 7.718	 0.271	 0.166	 0.553	Simbad
HD 45923   	    	06 27 19.9	-53 33 58	 3.829	-0.59	 158	 2.16	 1.9	  -26	  -13	   -8	 8.149	 0.242	 0.130	 0.643	Simbad
HD 45924   	AB  	06 26 43.7	-58 13 20	      	     	    	     	    	     	     	     	 8.199	 0.454	 0.199	 0.593	Simbad
HD 45943   	    	06 28 41.2	-38 34 15	 3.736	 0.02	  60	 5.16	12.0	   47	  -23	  -20	 9.057	 0.455	 0.279	 0.327	Simbad
HD 45946   	    	06 26 43.5	-59 01 27	 3.752	-0.37	 142	 2.68	 3.1	   88	  -16	  -25	 8.434	 0.411	 0.174	 0.333	Simbad
HD 45947   	    	06 37 54.8	+73 41 44	 3.821	-0.12	  36	 3.48	 1.0	   -9	   16	  -23	 6.258	 0.266	 0.151	 0.481	Simbad
HD 45964   	AB  	06 28 47.2	-39 46 06	 3.749	-0.07	  74	 4.39	11.3	  -36	  -42	   -6	 8.737	 0.427	 0.214	 0.364	Simbad
